id,Name,Category,TruckID,Length,Breadth,Height,Volume,Weight,Price,Display_name
154,32 ft sxl HQ,CONTAINER,154,32,9,10,2880,6000,9,32 ft sxl HQ  6000
155,32 ft sxl HQ,CONTAINER,155,32,9,10,2880,6500,9.5,32 ft sxl HQ  6500
156,32 ft sxl HQ,CONTAINER,156,32,9,10,2880,7000,9.75,32 ft sxl HQ  7000
157,32 ft mxl,CONTAINER,157,32,8,8,2048,14000,14,32 ft mxl  14000
158,32 ft mxl,CONTAINER,158,32,8,8,2048,14500,14.1,32 ft mxl  14500
159,32 ft mxl,CONTAINER,159,32,8,8,2048,15000,14.25,32 ft mxl  15000
160,32 ft mxl HQ,CONTAINER,160,32,9,10,2880,14000,14.5,32 ft mxl HQ  14000
161,32 ft mxl HQ,CONTAINER,161,32,9,10,2880,14500,14.75,32 ft mxl HQ  14500
162,32 ft mxl HQ,CONTAINER,162,32,9,10,2880,15000,14.9,32 ft mxl HQ  15000
163,32 Ft txl,CONTAINER,163,32,8,8,2048,20000,17.1,32 Ft txl  20000
164,32 Ft txl,CONTAINER,164,32,8,8,2048,20500,17.2,32 Ft txl  20500
165,32 Ft txl,CONTAINER,165,32,8,8,2048,21000,17.3,32 Ft txl  21000
166,32 Ft txl HQ,CONTAINER,166,32,9,10,2880,20000,17.5,32 Ft txl HQ  20000
167,32 Ft txl HQ,CONTAINER,167,32,9,10,2880,20500,17.8,32 Ft txl HQ  20500
168,32 Ft txl HQ,CONTAINER,168,32,9,10,2880,21000,17.9,32 Ft txl HQ  21000
169,Low bed,TRAILER,169,42,8,8.5,2856,23000,17.95,Low bed  23000
170,Low bed,TRAILER,170,42,8,8.5,2856,28000,18,Low bed  28000
171,Low bed,TRAILER,171,42,8,8.5,2856,35000,19,Low bed  35000
172,Semi bed,TRAILER,172,42,8,8.5,2856,23000,20,Semi bed  23000
173,Semi bed,TRAILER,173,42,8,8.5,2856,28000,21,Semi bed  28000
174,Semi bed,TRAILER,174,42,8,8.5,2856,35000,22,Semi bed  35000
175,High bed,TRAILER,175,42,8,8.5,2856,23000,23,High bed  23000
176,High bed,TRAILER,176,42,8,8.5,2856,28000,24,High bed  28000
177,High bed,TRAILER,177,42,8,8.5,2856,35000,25,High bed  35000
178,Tempo 407,OPEN,178,9.5,5.5,5.5,287.375,1500,1,Tempo 407  1500
179,Tempo 407,OPEN,179,9.5,5.5,5.5,287.375,2000,1.5,Tempo 407  2000
180,Tempo 407,OPEN,180,9.5,5.5,5.5,287.375,2500,2,Tempo 407  2500
181,13 Feet,OPEN,181,13,5.5,7,500.5,3500,3,13 Feet  3500
182,14 Feet,OPEN,182,14,6,6,504,4000,3.5,14 Feet  4000
