id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2019-424546,2019-03-29,000001,Vente,100000,9001,,PL DES MOUETTES,0494,95140,95268,Garges-lès-Gonesse,95,,,95268000AP0181,,,689,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.388871,48.974399
2019-424546,2019-03-29,000001,Vente,100000,11,,PL DES MOUETTES,0494,95140,95268,Garges-lès-Gonesse,95,,,95268000AP0181,,,251,,511,,,,,,,,2,2,Appartement,51,3,,,,,,2.388871,48.974399
2019-424547,2019-03-22,000001,Vente en l'état futur d'achèvement,290000,,,AV CHARLES DE GAULLE,0220,95380,95351,Louvres,95,,,95351000AB0639,,,7023,,,,,,,,,,1,,,,,,,,,,2.501674,49.052246
2019-424547,2019-03-22,000001,Vente en l'état futur d'achèvement,290000,,,AV CHARLES DE GAULLE,0220,95380,95351,Louvres,95,,,95351000AB0639,,,2103,,,,,,,,,,1,,,,,,,,,,2.501674,49.052246
2019-424548,2019-03-29,000001,Vente en l'état futur d'achèvement,39000000,,,FOSSE AUX CHIENS,B039,95700,95527,Roissy-en-France,95,,,95527000AA0025,,,,,,,,,,,,,0,,,,,T,terres,,,1914,2.514476,49.009066
2019-424548,2019-03-29,000001,Vente en l'état futur d'achèvement,39000000,,,FOSSE AUX CHIENS,B039,95700,95527,Roissy-en-France,95,,,95527000AA0093,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,7524,2.514924,49.008373
2019-424549,2019-03-21,000001,Vente,160000,13,,AV DES HORTENSIAS,0487,95500,95277,Gonesse,95,,,95277000AD0298,,,,,,,,,,,,,0,1,Maison,69,4,S,sols,,,133,2.426587,48.999216
2019-424550,2019-03-22,000001,Vente,110000,19,,RUE KLEINPETER,0960,95270,95652,Viarmes,95,,,95652000AD0703,,,2,27.47,,,,,,,,,1,1,Maison,23,2,,,,,,2.373331,49.126704
2019-424551,2019-03-29,000001,Vente,479100,50,,AV RASPAIL,0720,95330,95199,Domont,95,,,95199000AI0275,,,,,,,,,,,,,0,1,Maison,157,4,S,sols,,,292,2.334217,49.03826
2019-424551,2019-03-29,000001,Vente,479100,50,,AV RASPAIL,0720,95330,95199,Domont,95,,,95199000AI0276,,,,,,,,,,,,,0,,,,,S,sols,,,438,2.334373,49.038243
2019-424552,2019-04-02,000001,Vente,311000,64,,AV HENRI BARBUSSE,0680,95400,95019,Arnouville,95,,,95019000AL0688,,,,,,,,,,,,,0,1,Maison,130,5,S,sols,,,475,2.415616,48.987794
2019-424553,2019-04-02,000001,Vente,177000,6,,ALL DES MICOCOULIERS,0602,95400,95680,Villiers-le-Bel,95,,,95680000AN0672,,,1273,,167,84.8,169,,,,,,3,1,Maison,83,4,,,,,,2.408818,48.99634
2019-424554,2019-04-02,000001,Vente,320500,6,,RUE DU GRAND COURONNE,1200,95200,95585,Sarcelles,95,,,95585000AP0041,,,,,,,,,,,,,0,1,Maison,122,4,S,sols,,,405,2.397826,48.986055
2019-424555,2019-03-26,000002,Vente,145000,46,,RUE DE PARIS,0160,95720,95395,Le Mesnil-Aubry,95,,,953950000C0746,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,471,2.399353,49.05227
2019-424556,2019-04-12,000001,Vente,80800,13,,ALL DU 19 MARS 1962,0792,95200,95585,Sarcelles,95,,,95585000AC0491,,,110,,39,77.54,,,,,,,2,2,Appartement,72,3,,,,,,2.368676,48.987057
2019-424556,2019-04-12,000001,Vente,80800,9001,,ALL DU 19 MARS 1962,0792,95200,95585,Sarcelles,95,,,95585000AC0495,,,16,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.368084,48.986923
